chart,d,end_date,incumbent,moe,name,observations,partisan,pollster,r,start_date,state,subpopulation,spread,poll_date,age_days
2014-national-house-race,42,2014-10-30 00:00:00,I,4.1,2014 National House Race,802.0,Nonpartisan/None,HuffPost/YouGov,46.0,2014-10-28 00:00:00,US,Likely Voters,4.0,2014-10-29 00:00:00,4.0
2014-national-house-race,45,2014-11-01 00:00:00,I,3.4,2014 National House Race,826.0,Nonpartisan/None,NBC/WSJ,46.0,2014-10-30 00:00:00,US,Likely Voters,1.0,2014-10-31 00:00:00,2.0
2014-national-house-race,42,2014-10-27 00:00:00,I,4.0,2014 National House Race,624.0,Nonpartisan/None,CBS,50.0,2014-10-23 00:00:00,US,Likely Voters,8.0,2014-10-25 00:00:00,8.0
2014-national-house-race,45,2014-10-27 00:00:00,I,3.5,2014 National House Race,734.0,Nonpartisan/None,FOX,44.0,2014-10-25 00:00:00,US,Likely Voters,-1.0,2014-10-26 00:00:00,7.0
2014-national-house-race,47,2014-10-26 00:00:00,I,4.0,2014 National House Race,540.0,Nonpartisan/None,CNN,46.0,2014-10-24 00:00:00,US,Likely Voters,-1.0,2014-10-25 00:00:00,8.0
2014-national-house-race,43,2014-10-26 00:00:00,I,4.3,2014 National House Race,697.0,Nonpartisan/None,USA Today/PSRAI,42.0,2014-10-23 00:00:00,US,Likely Voters,-1.0,2014-10-24 12:00:00,8.5
2014-national-house-race,44,2014-10-26 00:00:00,I,4.0,2014 National House Race,758.0,Nonpartisan/None,ABC/Post,50.0,2014-10-23 00:00:00,US,Likely Voters,6.0,2014-10-24 12:00:00,8.5
2014-national-house-race,41,2014-10-26 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,43.0,2014-10-20 00:00:00,US,Likely Voters,2.0,2014-10-23 00:00:00,10.0
2014-national-house-race,41,2014-10-23 00:00:00,I,4.1,2014 National House Race,823.0,Nonpartisan/None,NBC/WSJ/Annenberg,52.0,2014-10-17 00:00:00,US,Likely Voters,11.0,2014-10-20 00:00:00,13.0
2014-national-house-race,46,2014-10-21 00:00:00,I,-3.0,2014 National House Race,698.0,Pollster/Dem,Democracy Corps (D),46.0,2014-10-16 00:00:00,US,Likely Voters,0.0,2014-10-18 12:00:00,14.5
2014-national-house-race,32,2014-10-20 00:00:00,I,,2014 National House Race,968.0,Nonpartisan/None,AP-GfK (Web),40.0,2014-10-16 00:00:00,US,Likely Voters,8.0,2014-10-18 00:00:00,15.0
2014-national-house-race,47,2014-10-20 00:00:00,I,3.4,2014 National House Race,1126.0,Nonpartisan/None,Pew,46.0,2014-10-15 00:00:00,US,Likely Voters,-1.0,2014-10-17 12:00:00,15.5
2014-national-house-race,41,2014-10-20 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,41.0,2014-10-14 00:00:00,US,Likely Voters,0.0,2014-10-17 00:00:00,16.0
2014-national-house-race,44,2014-10-16 00:00:00,I,5.42,2014 National House Race,484.0,Nonpartisan/None,NBC/WSJ/Annenberg,49.0,2014-10-10 00:00:00,US,Likely Voters,5.0,2014-10-13 00:00:00,20.0
2014-national-house-race,42,2014-10-14 00:00:00,I,3.0,2014 National House Race,831.0,Nonpartisan/None,FOX,45.0,2014-10-12 00:00:00,US,Likely Voters,3.0,2014-10-13 00:00:00,20.0
2014-national-house-race,43,2014-10-12 00:00:00,I,,2014 National House Race,,Nonpartisan/None,ABC/Post,50.0,2014-10-09 00:00:00,US,Likely Voters,7.0,2014-10-10 12:00:00,22.5
2014-national-house-race,47,2014-10-12 00:00:00,I,3.8,2014 National House Race,666.0,Nonpartisan/None,NBC/WSJ,48.0,2014-10-08 00:00:00,US,Likely Voters,1.0,2014-10-10 00:00:00,23.0
2014-national-house-race,40,2014-10-12 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,40.0,2014-10-06 00:00:00,US,Likely Voters,0.0,2014-10-09 00:00:00,24.0
2014-national-house-race,48,2014-10-09 00:00:00,I,3.42,2014 National House Race,1181.0,Nonpartisan/None,NBC/WSJ/Annenberg,43.0,2014-10-03 00:00:00,US,Registered Voters,-5.0,2014-10-06 00:00:00,27.0
2014-national-house-race,43,2014-10-06 00:00:00,I,4.0,2014 National House Race,575.0,Nonpartisan/None,CBS,49.0,2014-10-03 00:00:00,US,Likely Voters,6.0,2014-10-04 12:00:00,28.5
2014-national-house-race,43,2014-10-07 00:00:00,I,,2014 National House Race,623.0,Nonpartisan/None,Ipsos/Reuters,42.0,2014-10-03 00:00:00,US,Likely Voters,-1.0,2014-10-05 00:00:00,28.0
2014-national-house-race,42,2014-10-06 00:00:00,I,,2014 National House Race,,Nonpartisan/None,Reason/Rupe,33.0,2014-10-01 00:00:00,US,Registered Voters,-9.0,2014-10-03 12:00:00,29.5
2014-national-house-race,41,2014-10-05 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,39.0,2014-09-30 00:00:00,US,Likely Voters,-2.0,2014-10-02 12:00:00,30.5
2014-national-house-race,46,2014-10-02 00:00:00,I,3.42,2014 National House Race,1181.0,Nonpartisan/None,NBC/WSJ/Annenberg,43.0,2014-09-26 00:00:00,US,Registered Voters,-3.0,2014-09-29 00:00:00,34.0
2014-national-house-race,46,2014-09-30 00:00:00,I,3.0,2014 National House Race,1252.0,Nonpartisan/None,Gallup,47.0,2014-09-25 00:00:00,US,Registered Voters,1.0,2014-09-27 12:00:00,35.5
2014-national-house-race,40,2014-09-30 00:00:00,I,3.0,2014 National House Race,845.0,Nonpartisan/None,FOX,47.0,2014-09-28 00:00:00,US,Likely Voters,7.0,2014-09-29 00:00:00,34.0
2014-national-house-race,45,2014-09-29 00:00:00,I,3.3,2014 National House Race,884.0,Nonpartisan/None,McClatchy/Marist,44.0,2014-09-24 00:00:00,US,Registered Voters,-1.0,2014-09-26 12:00:00,36.5
2014-national-house-race,33,2014-09-29 00:00:00,I,3.5,2014 National House Race,958.0,Nonpartisan/None,AP-GfK (Web),33.0,2014-09-25 00:00:00,US,Likely Voters,0.0,2014-09-27 00:00:00,36.0
2014-national-house-race,40,2014-09-28 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,39.0,2014-09-22 00:00:00,US,Likely Voters,-1.0,2014-09-25 00:00:00,38.0
2014-national-house-race,47,2014-09-28 00:00:00,I,3.5,2014 National House Race,701.0,Nonpartisan/None,CNN,45.0,2014-09-25 00:00:00,US,Likely Voters,-2.0,2014-09-26 12:00:00,36.5
2014-national-house-race,47,2014-09-25 00:00:00,I,3.15,2014 National House Race,1283.0,Nonpartisan/None,NBC/WSJ/Annenberg,42.0,2014-09-19 00:00:00,US,Registered Voters,-5.0,2014-09-22 00:00:00,41.0
2014-national-house-race,46,2014-09-18 00:00:00,I,4.31,2014 National House Race,815.0,Nonpartisan/None,NBC/WSJ/Annenberg,42.0,2014-09-14 00:00:00,US,Registered Voters,-4.0,2014-09-16 00:00:00,47.0
2014-national-house-race,40,2014-09-21 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,40.0,2014-09-15 00:00:00,US,Likely Voters,0.0,2014-09-18 00:00:00,45.0
2014-national-house-race,42,2014-09-15 00:00:00,I,4.0,2014 National House Race,470.0,Nonpartisan/None,CBS/Times,49.0,2014-09-12 00:00:00,US,Likely Voters,7.0,2014-09-13 12:00:00,49.5
2014-national-house-race,41,2014-09-14 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,38.0,2014-09-08 00:00:00,US,Likely Voters,-3.0,2014-09-11 00:00:00,52.0
2014-national-house-race,44,2014-09-09 00:00:00,I,3.3,2014 National House Race,1150.0,Nonpartisan/None,Pew,47.0,2014-09-02 00:00:00,US,Likely Voters,3.0,2014-09-05 12:00:00,57.5
2014-national-house-race,40,2014-09-09 00:00:00,I,3.0,2014 National House Race,833.0,Nonpartisan/None,FOX,47.0,2014-09-07 00:00:00,US,Likely Voters,7.0,2014-09-08 00:00:00,55.0
2014-national-house-race,45,2014-09-07 00:00:00,I,,2014 National House Race,,Nonpartisan/None,CNN,49.0,2014-09-05 00:00:00,US,Likely Voters,4.0,2014-09-06 00:00:00,57.0
2014-national-house-race,46,2014-09-07 00:00:00,I,,2014 National House Race,888.0,Nonpartisan/None,ABC/Post,44.0,2014-09-04 00:00:00,US,Registered Voters,-2.0,2014-09-05 12:00:00,57.5
2014-national-house-race,43,2014-09-07 00:00:00,I,3.1,2014 National House Race,1000.0,Nonpartisan/None,NBC/WSJ,45.0,2014-09-03 00:00:00,US,Registered Voters,2.0,2014-09-05 00:00:00,58.0
2014-national-house-race,39,2014-09-07 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,41.0,2014-09-01 00:00:00,US,Likely Voters,2.0,2014-09-04 00:00:00,59.0
2014-national-house-race,40,2014-08-31 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,41.0,2014-08-25 00:00:00,US,Likely Voters,1.0,2014-08-28 00:00:00,66.0
2014-national-house-race,42,2014-08-28 00:00:00,I,3.1,2014 National House Race,1000.0,Nonpartisan/None,GWU/Battleground,46.0,2014-08-24 00:00:00,US,Likely Voters,4.0,2014-08-26 00:00:00,68.0
2014-national-house-race,47,2014-08-24 00:00:00,I,2.9,2014 National House Race,1501.0,Nonpartisan/None,Pew/USA Today,42.0,2014-08-20 00:00:00,US,Registered Voters,-5.0,2014-08-22 00:00:00,72.0
2014-national-house-race,39,2014-08-24 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,40.0,2014-08-18 00:00:00,US,Likely Voters,1.0,2014-08-21 00:00:00,73.0
2014-national-house-race,39,2014-08-17 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,39.0,2014-08-11 00:00:00,US,Likely Voters,0.0,2014-08-14 00:00:00,80.0
2014-national-house-race,42,2014-08-10 00:00:00,I,,2014 National House Race,,Nonpartisan/None,Reason/Rupe,41.0,2014-08-06 00:00:00,US,Likely Voters,-1.0,2014-08-08 00:00:00,86.0
2014-national-house-race,46,2014-08-12 00:00:00,I,3.0,2014 National House Race,1001.0,Nonpartisan/None,FOX,39.0,2014-08-10 00:00:00,US,Registered Voters,-7.0,2014-08-11 00:00:00,83.0
2014-national-house-race,38,2014-08-07 00:00:00,I,3.5,2014 National House Race,806.0,Nonpartisan/None,McClatchy/Marist,43.0,2014-08-04 00:00:00,US,Registered Voters,5.0,2014-08-05 12:00:00,88.5
2014-national-house-race,39,2014-08-10 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,40.0,2014-08-04 00:00:00,US,Likely Voters,1.0,2014-08-07 00:00:00,87.0
2014-national-house-race,41,2014-08-04 00:00:00,I,,2014 National House Race,,Nonpartisan/None,CBS,37.0,2014-07-29 00:00:00,US,Registered Voters,-4.0,2014-08-01 00:00:00,93.0
2014-national-house-race,43,2014-08-03 00:00:00,I,,2014 National House Race,,Nonpartisan/None,NBC/WSJ,44.0,2014-07-30 00:00:00,US,Registered Voters,1.0,2014-08-01 00:00:00,93.0
2014-national-house-race,38,2014-08-03 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,42.0,2014-07-28 00:00:00,US,Likely Voters,4.0,2014-07-31 00:00:00,94.0
2014-national-house-race,33,2014-07-28 00:00:00,I,3.4,2014 National House Race,1044.0,Nonpartisan/None,AP-GfK (Web),33.0,2014-07-24 00:00:00,US,Adults,0.0,2014-07-26 00:00:00,99.0
2014-national-house-race,43,2014-07-22 00:00:00,I,3.0,2014 National House Race,1057.0,Nonpartisan/None,FOX,41.0,2014-07-20 00:00:00,US,Registered Voters,-2.0,2014-07-21 00:00:00,104.0
2014-national-house-race,41,2014-07-27 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,39.0,2014-07-21 00:00:00,US,Likely Voters,-2.0,2014-07-24 00:00:00,101.0
2014-national-house-race,48,2014-07-20 00:00:00,I,,2014 National House Race,,Nonpartisan/None,CNN,44.0,2014-07-18 00:00:00,US,Registered Voters,-4.0,2014-07-19 00:00:00,106.0
2014-national-house-race,39,2014-07-20 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,39.0,2014-07-14 00:00:00,US,Likely Voters,0.0,2014-07-17 00:00:00,108.0
2014-national-house-race,47,2014-07-14 00:00:00,I,3.0,2014 National House Race,1420.0,Nonpartisan/None,Pew,45.0,2014-07-08 00:00:00,US,Registered Voters,-2.0,2014-07-11 00:00:00,114.0
2014-national-house-race,39,2014-07-13 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,38.0,2014-07-07 00:00:00,US,Likely Voters,-1.0,2014-07-10 00:00:00,115.0
2014-national-house-race,41,2014-06-30 00:00:00,I,2.6,2014 National House Race,1446.0,Nonpartisan/None,Quinnipiac,39.0,2014-06-24 00:00:00,US,Registered Voters,-2.0,2014-06-27 00:00:00,128.0
2014-national-house-race,41,2014-07-06 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,38.0,2014-06-30 00:00:00,US,Likely Voters,-3.0,2014-07-03 00:00:00,122.0
2014-national-house-race,40,2014-06-29 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,38.0,2014-06-23 00:00:00,US,Likely Voters,-2.0,2014-06-26 00:00:00,129.0
2014-national-house-race,42,2014-06-23 00:00:00,I,3.0,2014 National House Race,1018.0,Nonpartisan/None,FOX,42.0,2014-06-21 00:00:00,US,Registered Voters,0.0,2014-06-22 00:00:00,133.0
2014-national-house-race,42,2014-06-22 00:00:00,I,,2014 National House Race,,Nonpartisan/None,CBS/Times,39.0,2014-06-20 00:00:00,US,Registered Voters,-3.0,2014-06-21 00:00:00,134.0
2014-national-house-race,40,2014-06-22 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,38.0,2014-06-16 00:00:00,US,Likely Voters,-2.0,2014-06-19 00:00:00,136.0
2014-national-house-race,45,2014-06-15 00:00:00,I,,2014 National House Race,,Nonpartisan/None,NBC/WSJ,43.0,2014-06-11 00:00:00,US,Registered Voters,-2.0,2014-06-13 00:00:00,142.0
2014-national-house-race,39,2014-06-15 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,37.0,2014-06-09 00:00:00,US,Likely Voters,-2.0,2014-06-12 00:00:00,143.0
2014-national-house-race,41,2014-06-08 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,37.0,2014-06-02 00:00:00,US,Likely Voters,-4.0,2014-06-05 00:00:00,150.0
2014-national-house-race,43,2014-06-09 00:00:00,I,,2014 National House Race,763.0,Nonpartisan/None,Bloomberg,43.0,2014-06-06 00:00:00,US,Likely Voters,0.0,2014-06-07 12:00:00,147.5
2014-national-house-race,39,2014-06-03 00:00:00,I,3.0,2014 National House Race,1006.0,Nonpartisan/None,FOX,43.0,2014-06-01 00:00:00,US,Registered Voters,4.0,2014-06-02 00:00:00,153.0
2014-national-house-race,41,2014-06-01 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,38.0,2014-05-26 00:00:00,US,Likely Voters,-3.0,2014-05-29 00:00:00,157.0
2014-national-house-race,47,2014-06-01 00:00:00,I,,2014 National House Race,,Nonpartisan/None,ABC/Post,45.0,2014-05-29 00:00:00,US,Registered Voters,-2.0,2014-05-30 12:00:00,155.5
2014-national-house-race,42,2014-05-25 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,38.0,2014-05-19 00:00:00,US,Likely Voters,-4.0,2014-05-22 00:00:00,164.0
2014-national-house-race,37,2014-05-19 00:00:00,I,3.0,2014 National House Race,1354.0,Nonpartisan/None,AP-GfK (Web),31.0,2014-05-16 00:00:00,US,Adults,-6.0,2014-05-17 12:00:00,168.5
2014-national-house-race,40,2014-05-19 00:00:00,I,,2014 National House Race,,Nonpartisan/None,CBS,39.0,2014-05-16 00:00:00,US,Registered Voters,-1.0,2014-05-17 12:00:00,168.5
2014-national-house-race,41,2014-05-18 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,37.0,2014-05-12 00:00:00,US,Likely Voters,-4.0,2014-05-15 00:00:00,171.0
2014-national-house-race,43,2014-05-13 00:00:00,I,3.0,2014 National House Race,1025.0,Nonpartisan/None,FOX,40.0,2014-05-10 00:00:00,US,Registered Voters,-3.0,2014-05-11 12:00:00,174.5
2014-national-house-race,40,2014-05-10 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,38.0,2014-05-05 00:00:00,US,Likely Voters,-2.0,2014-05-07 12:00:00,178.5
2014-national-house-race,45,2014-05-04 00:00:00,I,3.5,2014 National House Race,911.0,Nonpartisan/None,CNN,46.0,2014-05-02 00:00:00,US,Registered Voters,1.0,2014-05-03 00:00:00,183.0
2014-national-house-race,41,2014-05-04 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,37.0,2014-04-28 00:00:00,US,Likely Voters,-4.0,2014-05-01 00:00:00,185.0
2014-national-house-race,43,2014-04-27 00:00:00,I,3.3,2014 National House Race,1162.0,Nonpartisan/None,Pew/USA Today,47.0,2014-04-23 00:00:00,US,Registered Voters,4.0,2014-04-25 00:00:00,191.0
2014-national-house-race,45,2014-04-27 00:00:00,I,,2014 National House Race,,Nonpartisan/None,NBC/WSJ,45.0,2014-04-23 00:00:00,US,Registered Voters,0.0,2014-04-25 00:00:00,191.0
2014-national-house-race,45,2014-04-27 00:00:00,I,,2014 National House Race,,Nonpartisan/None,ABC/Post,44.0,2014-04-24 00:00:00,US,Registered Voters,-1.0,2014-04-25 12:00:00,190.5
2014-national-house-race,38,2014-04-27 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,40.0,2014-04-21 00:00:00,US,Likely Voters,2.0,2014-04-24 00:00:00,192.0
2014-national-house-race,40,2014-04-20 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,41.0,2014-04-14 00:00:00,US,Likely Voters,1.0,2014-04-17 00:00:00,199.0
2014-national-house-race,41,2014-04-15 00:00:00,I,3.0,2014 National House Race,1012.0,Nonpartisan/None,FOX,44.0,2014-04-13 00:00:00,US,Registered Voters,3.0,2014-04-14 00:00:00,202.0
2014-national-house-race,48,2014-04-10 00:00:00,I,3.0,2014 National House Race,1036.0,Nonpartisan/None,McClatchy/Marist,42.0,2014-04-07 00:00:00,US,Registered Voters,-6.0,2014-04-08 12:00:00,207.5
2014-national-house-race,40,2014-04-13 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,38.0,2014-04-07 00:00:00,US,Likely Voters,-2.0,2014-04-10 00:00:00,206.0
2014-national-house-race,40,2014-04-06 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,39.0,2014-03-31 00:00:00,US,Likely Voters,-1.0,2014-04-03 00:00:00,213.0
2014-national-house-race,40,2014-03-30 00:00:00,I,3.6,2014 National House Race,1003.0,Nonpartisan/None,Reason/Rupe,36.0,2014-03-26 00:00:00,US,Adults,-4.0,2014-03-28 00:00:00,219.0
2014-national-house-race,44,2014-03-23 00:00:00,I,3.18,2014 National House Race,840.0,Pollster/Dem,NPR,43.0,2014-03-19 00:00:00,US,Likely Voters,-1.0,2014-03-21 00:00:00,226.0
2014-national-house-race,39,2014-03-30 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,38.0,2014-03-24 00:00:00,US,Likely Voters,-1.0,2014-03-27 00:00:00,220.0
2014-national-house-race,40,2014-03-31 00:00:00,I,2.5,2014 National House Race,1578.0,Nonpartisan/None,Quinnipiac,38.0,2014-03-26 00:00:00,US,Registered Voters,-2.0,2014-03-28 12:00:00,218.5
2014-national-house-race,36,2014-03-24 00:00:00,I,3.4,2014 National House Race,1012.0,Nonpartisan/None,AP-GfK (Web),37.0,2014-03-20 00:00:00,US,Adults,1.0,2014-03-22 00:00:00,225.0
2014-national-house-race,39,2014-03-23 00:00:00,I,,2014 National House Race,,Nonpartisan/None,CBS,39.0,2014-03-20 00:00:00,US,Registered Voters,0.0,2014-03-21 12:00:00,225.5
2014-national-house-race,41,2014-03-23 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,37.0,2014-03-17 00:00:00,US,Likely Voters,-4.0,2014-03-20 00:00:00,227.0
2014-national-house-race,43,2014-03-20 00:00:00,I,3.1,2014 National House Race,1000.0,Nonpartisan/None,GWU/Battleground,43.0,2014-03-16 00:00:00,US,Likely Voters,0.0,2014-03-18 00:00:00,229.0
2014-national-house-race,38,2014-03-16 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,39.0,2014-03-10 00:00:00,US,Likely Voters,1.0,2014-03-13 00:00:00,234.0
2014-national-house-race,43,2014-03-12 00:00:00,I,3.1,2014 National House Race,1000.0,Pollster/Rep,McLaughlin (R),41.0,2014-03-09 00:00:00,US,Likely Voters,-2.0,2014-03-10 12:00:00,236.5
2014-national-house-race,43,2014-03-09 00:00:00,I,,2014 National House Race,,Nonpartisan/None,NBC/WSJ,44.0,2014-03-05 00:00:00,US,Registered Voters,1.0,2014-03-07 00:00:00,240.0
2014-national-house-race,43,2014-03-09 00:00:00,I,2.9,2014 National House Race,1152.0,Pollster/Dem,PPP (D),40.0,2014-03-06 00:00:00,US,Likely Voters,-3.0,2014-03-07 12:00:00,239.5
2014-national-house-race,39,2014-03-09 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,39.0,2014-03-03 00:00:00,US,Likely Voters,0.0,2014-03-06 00:00:00,241.0
2014-national-house-race,40,2014-03-04 00:00:00,I,3.0,2014 National House Race,1002.0,Nonpartisan/None,FOX,38.0,2014-03-02 00:00:00,US,Registered Voters,-2.0,2014-03-03 00:00:00,244.0
2014-national-house-race,46,2014-03-02 00:00:00,I,,2014 National House Race,,Nonpartisan/None,ABC/Post,45.0,2014-02-27 00:00:00,US,Registered Voters,-1.0,2014-02-28 12:00:00,246.5
2014-national-house-race,39,2014-03-02 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,36.0,2014-02-24 00:00:00,US,Likely Voters,-3.0,2014-02-27 00:00:00,248.0
2014-national-house-race,41,2014-02-12 00:00:00,I,3.1,2014 National House Race,1000.0,Pollster/Rep,McLaughlin (R),41.0,2014-02-06 00:00:00,US,Likely Voters,0.0,2014-02-09 00:00:00,266.0
2014-national-house-race,36,2014-02-24 00:00:00,I,4.1,2014 National House Race,1000.0,Nonpartisan/None,YouGov/Economist,35.0,2014-02-22 00:00:00,US,Adults,-1.0,2014-02-23 00:00:00,252.0
2014-national-house-race,39,2014-02-23 00:00:00,I,,2014 National House Race,,Nonpartisan/None,CBS/Times,42.0,2014-02-19 00:00:00,US,Registered Voters,3.0,2014-02-21 00:00:00,254.0
2014-national-house-race,38,2014-02-10 00:00:00,I,4.0,2014 National House Race,1000.0,Nonpartisan/None,YouGov/Economist,28.0,2014-02-08 00:00:00,US,Adults,-10.0,2014-02-09 00:00:00,266.0
2014-national-house-race,41,2014-02-23 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,37.0,2014-02-17 00:00:00,US,Likely Voters,-4.0,2014-02-20 00:00:00,255.0
2014-national-house-race,34,2014-02-17 00:00:00,I,4.2,2014 National House Race,1000.0,Nonpartisan/None,YouGov/Economist,27.0,2014-02-15 00:00:00,US,Adults,-7.0,2014-02-16 00:00:00,259.0
2014-national-house-race,41,2014-02-16 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,37.0,2014-02-10 00:00:00,US,Likely Voters,-4.0,2014-02-13 00:00:00,262.0
2014-national-house-race,40,2014-02-09 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,38.0,2014-02-03 00:00:00,US,Likely Voters,-2.0,2014-02-06 00:00:00,269.0
2014-national-house-race,46,2014-02-09 00:00:00,I,3.1,2014 National House Race,970.0,Nonpartisan/None,McClatchy/Marist,44.0,2014-02-04 00:00:00,US,Registered Voters,-2.0,2014-02-06 12:00:00,268.5
2014-national-house-race,35,2014-02-03 00:00:00,I,4.0,2014 National House Race,1000.0,Nonpartisan/None,YouGov/Economist,29.0,2014-02-01 00:00:00,US,Adults,-6.0,2014-02-02 00:00:00,273.0
2014-national-house-race,39,2014-02-02 00:00:00,I,2.0,2014 National House Race,3500.0,Nonpartisan/None,Rasmussen,40.0,2014-01-27 00:00:00,US,Likely Voters,1.0,2014-01-30 00:00:00,276.0
2014-national-house-race,39,2014-01-27 00:00:00,I,3.9,2014 National House Race,1000.0,Nonpartisan/None,YouGov/Economist,27.0,2014-01-25 00:00:00,US,Adults,-12.0,2014-01-26 00:00:00,280.0
